"a1","a2","a3","a4","a5","a6","a7","a8","Class"
-0.75258912704885,0.983484571799636,0.254699010867625,0.301208008080721,-0.12458245549351,0.342831338290125,0.667768747080117,0.347715793177485,"TRUE"
-0.427701006177813,-0.877630157396197,0.24275424098596,0.884286949876696,0.707757422700524,0.744296454824507,0.873173430096358,-0.750753049738705,"FALSE"
-0.451728633604944,0.723342224955559,0.231363529339433,-0.67816027905792,0.202333875000477,0.326458799652755,0.747864922042936,-0.61194026004523,"TRUE"
-0.764275792520493,-0.891086291056126,-0.604265853296965,0.285273518413305,-0.93126699142158,-0.281074912752956,-0.621371115092188,-0.443624650593847,"FALSE"
-0.415847785305232,0.693210016004741,-0.0967373764142394,0.0662855263799429,-0.250450401101261,-0.106952129397541,-0.0688467943109572,-0.0834892336279154,"TRUE"
-0.368396176490933,0.225209955591708,-0.0266579929739237,-0.659304408822209,-0.00996079854667187,0.658283659722656,-0.0887152347713709,-0.11405472503975,"TRUE"
0.444402453955263,-0.136124798096716,-0.312554284930229,0.000479544512927532,0.849051257129759,0.415513105690479,0.230015662033111,-0.0449800821952522,"TRUE"
-0.336763300001621,-0.253266777377576,0.319505701307207,-0.88894136575982,-0.084359141997993,-0.60868133418262,0.685080594848841,-0.549723703414202,"FALSE"
0.94180705351755,0.356802865862846,-0.695058343932033,0.466355559416115,-0.885217037051916,-0.714603156317025,-0.621506861876696,0.692168400157243,"FALSE"
0.626127450726926,0.52742112474516,0.252382486127317,0.485944762360305,-0.566128205507994,0.845807872246951,-0.0859511555172503,-0.731770466081798,"FALSE"
0.805757742375135,0.529273195192218,-0.822608461137861,0.0961429411545396,0.323908088728786,-0.353281867690384,0.557848648633808,-0.972436849959195,"FALSE"
0.810638508293778,-0.572281266096979,0.60780415032059,-0.947307385038584,-0.699025578331202,0.764775299932808,-0.410763493739069,-0.524456424172968,"TRUE"
0.252394441980869,0.846447420772165,-0.215273333713412,-0.328265688382089,-0.993425290100276,-0.374020794406533,-0.576406096573919,0.033383219037205,"FALSE"
0.865655313245952,0.479619473218918,-0.817279297392815,-0.578069615643471,-0.593523440416902,0.943739115726203,0.682113655377179,-0.0823768395930529,"FALSE"
-0.233496436849236,-0.342464180663228,0.970591051038355,0.154667337425053,0.451793863903731,-0.54657513462007,-0.599883669055998,0.0625030724331737,"FALSE"
